title,sku,brand,category,product_type,description,price,quantity,color,size,material,image_url
ErgoCraft Ergonomic Chair 011,ER-OFF-011,ErgoCraft,Office Furniture,office chair,ErgoCraft Ergonomic Chair 011 is designed for reliable everyday use with a forest green finish and practical office chair positioning.,34.84,87,Forest Green,Mid Back,Mesh Metal,https://example.com/images/er-off-011.jpg
Chrona Smart Watch 012,CH-WAT-012,Chrona,Fashion Accessories,watch,Chrona Smart Watch 012 is designed for reliable everyday use with a silver finish and practical watch positioning.,36.19,94,Silver,42 mm,Alloy Silicone,https://example.com/images/ch-wat-012.jpg
AuroraFlow Vacuum Bottle 013,AU-WAT-013,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 013 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,37.54,101,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-013.jpg
NovaStride Running Shoes 014,NO-RUN-014,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 014 is designed for reliable everyday use with a red finish and practical running shoes positioning.,38.89,108,Red,10,Mesh Synthetic,https://example.com/images/no-run-014.jpg
LumaDesk LED Table Lamp 015,LU-TAB-015,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 015 is designed for reliable everyday use with a white finish and practical table lamp positioning.,40.24,115,White,Standard,Metal Plastic,https://example.com/images/lu-tab-015.jpg
PeakTrail Travel Backpack 016,PE-TRA-016,PeakTrail,Travel Bags & Luggage,travel bag,PeakTrail Travel Backpack 016 is designed for reliable everyday use with a black finish and practical travel bag positioning.,41.59,122,Black,28L,Polyester,https://example.com/images/pe-tra-016.jpg
ErgoCraft Ergonomic Chair 017,ER-OFF-017,ErgoCraft,Office Furniture,office chair,ErgoCraft Ergonomic Chair 017 is designed for reliable everyday use with a forest green finish and practical office chair positioning.,42.94,129,Forest Green,Mid Back,Mesh Metal,https://example.com/images/er-off-017.jpg
Chrona Smart Watch 018,CH-WAT-018,Chrona,Fashion Accessories,watch,Chrona Smart Watch 018 is designed for reliable everyday use with a silver finish and practical watch positioning.,,136,Silver,42 mm,Alloy Silicone,https://example.com/images/ch-wat-018.jpg
AuroraFlow Vacuum Bottle 019,AU-WAT-019,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 019 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,45.64,143,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-019.jpg
NovaStride Running Shoes 020,NO-RUN-020,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 020 is designed for reliable everyday use with a red finish and practical running shoes positioning.,46.99,150,Red,10,Mesh Synthetic,https://example.com/images/no-run-020.jpg
LumaDesk LED Table Lamp 021,LU-TAB-021,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 021 is designed for reliable everyday use with a white finish and practical table lamp positioning.,48.34,157,White,Standard,Metal Plastic,https://example.com/images/lu-tab-021.jpg
PeakTrail Travel Backpack 022,PE-TRA-022,PeakTrail,Travel Bags & Luggage,travel bag,PeakTrail Travel Backpack 022 is designed for reliable everyday use with a black finish and practical travel bag positioning.,49.69,14,Black,28L,Polyester,https://example.com/images/pe-tra-022.jpg
ErgoCraft Ergonomic Chair 023,ER-OFF-023,ErgoCraft,Office Furniture,office chair,ErgoCraft Ergonomic Chair 023 is designed for reliable everyday use with a forest green finish and practical office chair positioning.,51.04,21,Forest Green,Mid Back,Mesh Metal,https://example.com/images/er-off-023.jpg
Chrona Smart Watch 024,CH-WAT-024,Chrona,Fashion Accessories,watch,Chrona Smart Watch 024 is designed for reliable everyday use with a silver finish and practical watch positioning.,52.39,28,Silver,42 mm,Alloy Silicone,
AuroraFlow Vacuum Bottle 025,AU-WAT-025,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 025 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,53.74,35,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-025.jpg
NovaStride Running Shoes 026,NO-RUN-026,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 026 is designed for reliable everyday use with a red finish and practical running shoes positioning.,55.09,42,Red,10,Mesh Synthetic,https://example.com/images/no-run-026.jpg
LumaDesk LED Table Lamp 027,LU-TAB-027,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 027 is designed for reliable everyday use with a white finish and practical table lamp positioning.,56.44,49,White,Standard,Metal Plastic,https://example.com/images/lu-tab-027.jpg
PeakTrail Travel Backpack 028,PE-TRA-028,PeakTrail,Travel Bags & Luggage,travel bag,PeakTrail Travel Backpack 028 is designed for reliable everyday use with a black finish and practical travel bag positioning.,57.79,56,Black,28L,Polyester,https://example.com/images/pe-tra-028.jpg
ErgoCraft Ergonomic Chair 029,ER-OFF-029,ErgoCraft,Office Furniture,office chair,ErgoCraft Ergonomic Chair 029 is designed for reliable everyday use with a forest green finish and practical office chair positioning.,59.14,63,Forest Green,Mid Back,Mesh Metal,https://example.com/images/er-off-029.jpg
Chrona Smart Watch 030,CH-WAT-030,Chrona,Fashion Accessories,watch,Chrona Smart Watch 030 is designed for reliable everyday use with a silver finish and practical watch positioning.,60.49,70,Silver,42 mm,Alloy Silicone,https://example.com/images/ch-wat-030.jpg
AuroraFlow Vacuum Bottle 031,AU-WAT-031,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 031 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,61.84,77,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-031.jpg
NovaStride Running Shoes 032,NO-RUN-032,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 032 is designed for reliable everyday use with a red finish and practical running shoes positioning.,63.19,84,Red,10,Mesh Synthetic,https://example.com/images/no-run-032.jpg
LumaDesk LED Table Lamp 033,LU-TAB-033,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 033 is designed for reliable everyday use with a white finish and practical table lamp positioning.,64.54,91,White,Standard,Metal Plastic,https://example.com/images/lu-tab-033.jpg
PeakTrail Travel Backpack 034,PE-TRA-034,PeakTrail,Travel Bags & Luggage,travel bag,PeakTrail Travel Backpack 034 is designed for reliable everyday use with a black finish and practical travel bag positioning.,65.89,98,Black,28L,Polyester,https://example.com/images/pe-tra-034.jpg
ErgoCraft Ergonomic Chair 035,ER-OFF-035,ErgoCraft,Office Furniture,office chair,ErgoCraft Ergonomic Chair 035 is designed for reliable everyday use with a forest green finish and practical office chair positioning.,67.24,,Forest Green,Mid Back,Mesh Metal,https://example.com/images/er-off-035.jpg
Chrona Smart Watch 036,CH-WAT-036,Chrona,Fashion Accessories,watch,Chrona Smart Watch 036 is designed for reliable everyday use with a silver finish and practical watch positioning.,68.59,112,Silver,42 mm,Alloy Silicone,https://example.com/images/ch-wat-036.jpg
AuroraFlow Vacuum Bottle 037,AU-WAT-037,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 037 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,69.94,119,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-037.jpg
NovaStride Running Shoes 038,NO-RUN-038,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 038 is designed for reliable everyday use with a red finish and practical running shoes positioning.,71.29,126,Red,10,Mesh Synthetic,https://example.com/images/no-run-038.jpg
LumaDesk LED Table Lamp 039,LU-TAB-039,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 039 is designed for reliable everyday use with a white finish and practical table lamp positioning.,72.64,133,White,Standard,Metal Plastic,https://example.com/images/lu-tab-039.jpg
PeakTrail Travel Backpack 040,PE-TRA-040,PeakTrail,Travel Bags & Luggage,travel bag,PeakTrail Travel Backpack 040 is designed for reliable everyday use with a black finish and practical travel bag positioning.,73.99,140,Black,28L,Polyester,https://example.com/images/pe-tra-040.jpg
ErgoCraft Ergonomic Chair 041,ER-OFF-041,ErgoCraft,Office Furniture,office chair,ErgoCraft Ergonomic Chair 041 is designed for reliable everyday use with a forest green finish and practical office chair positioning.,75.34,147,Forest Green,Mid Back,Mesh Metal,https://example.com/images/er-off-041.jpg
Chrona Smart Watch 042,CH-WAT-042,Chrona,Fashion Accessories,watch,Chrona Smart Watch 042 is designed for reliable everyday use with a silver finish and practical watch positioning.,76.69,154,Silver,42 mm,Alloy Silicone,https://example.com/images/ch-wat-042.jpg
AuroraFlow Vacuum Bottle 043,AU-WAT-043,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 043 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,78.04,11,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-043.jpg
NovaStride Running Shoes 044,NO-RUN-044,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 044 is designed for reliable everyday use with a red finish and practical running shoes positioning.,79.39,18,Red,10,Mesh Synthetic,https://example.com/images/no-run-044.jpg
LumaDesk LED Table Lamp 045,LU-TAB-045,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 045 is designed for reliable everyday use with a white finish and practical table lamp positioning.,80.74,25,White,Standard,Metal Plastic,https://example.com/images/lu-tab-045.jpg
PeakTrail Travel Backpack 046,PE-TRA-046,PeakTrail,Travel Bags & Luggage,travel bag,PeakTrail Travel Backpack 046 is designed for reliable everyday use with a black finish and practical travel bag positioning.,82.09,32,Black,28L,Polyester,https://example.com/images/pe-tra-046.jpg
ErgoCraft Ergonomic Chair 047,ER-OFF-047,ErgoCraft,Office Furniture,office chair,ErgoCraft Ergonomic Chair 047 is designed for reliable everyday use with a forest green finish and practical office chair positioning.,,39,Forest Green,Mid Back,Mesh Metal,https://example.com/images/er-off-047.jpg
Chrona Smart Watch 048,CH-WAT-048,Chrona,Fashion Accessories,watch,Chrona Smart Watch 048 is designed for reliable everyday use with a silver finish and practical watch positioning.,84.79,46,Silver,42 mm,Alloy Silicone,https://example.com/images/ch-wat-048.jpg
AuroraFlow Vacuum Bottle 049,AU-WAT-049,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 049 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,86.14,53,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-049.jpg
NovaStride Running Shoes 050,NO-RUN-050,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 050 is designed for reliable everyday use with a red finish and practical running shoes positioning.,87.49,60,Red,10,Mesh Synthetic,https://example.com/images/no-run-050.jpg
LumaDesk LED Table Lamp 051,LU-TAB-051,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 051 is designed for reliable everyday use with a white finish and practical table lamp positioning.,88.84,67,White,Standard,Metal Plastic,https://example.com/images/lu-tab-051.jpg
PeakTrail Travel Backpack 052,PE-TRA-052,PeakTrail,Travel Bags & Luggage,travel bag,PeakTrail Travel Backpack 052 is designed for reliable everyday use with a black finish and practical travel bag positioning.,90.19,74,Black,28L,Polyester,https://example.com/images/pe-tra-052.jpg
ErgoCraft Ergonomic Chair 053,ER-OFF-053,ErgoCraft,Office Furniture,office chair,ErgoCraft Ergonomic Chair 053 is designed for reliable everyday use with a forest green finish and practical office chair positioning.,91.54,81,Forest Green,Mid Back,Mesh Metal,https://example.com/images/er-off-053.jpg
Chrona Smart Watch 054,CH-WAT-054,Chrona,Fashion Accessories,watch,Chrona Smart Watch 054 is designed for reliable everyday use with a silver finish and practical watch positioning.,92.89,88,Silver,42 mm,Alloy Silicone,https://example.com/images/ch-wat-054.jpg
AuroraFlow Vacuum Bottle 055,AU-WAT-055,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 055 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,94.24,95,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-055.jpg
NovaStride Running Shoes 056,NO-RUN-056,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 056 is designed for reliable everyday use with a red finish and practical running shoes positioning.,95.59,102,Red,10,Mesh Synthetic,https://example.com/images/no-run-056.jpg
LumaDesk LED Table Lamp 057,LU-TAB-057,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 057 is designed for reliable everyday use with a white finish and practical table lamp positioning.,96.94,109,White,Standard,Metal Plastic,https://example.com/images/lu-tab-057.jpg
PeakTrail Travel Backpack 058,PE-TRA-058,PeakTrail,Travel Bags & Luggage,travel bag,PeakTrail Travel Backpack 058 is designed for reliable everyday use with a black finish and practical travel bag positioning.,98.29,116,Black,28L,Polyester,
ErgoCraft Ergonomic Chair 059,ER-OFF-059,ErgoCraft,Office Furniture,office chair,ErgoCraft Ergonomic Chair 059 is designed for reliable everyday use with a forest green finish and practical office chair positioning.,99.64,123,Forest Green,Mid Back,Mesh Metal,https://example.com/images/er-off-059.jpg
Chrona Smart Watch 060,CH-WAT-060,Chrona,Fashion Accessories,watch,Chrona Smart Watch 060 is designed for reliable everyday use with a silver finish and practical watch positioning.,100.99,130,Silver,42 mm,Alloy Silicone,https://example.com/images/ch-wat-060.jpg
AuroraFlow Vacuum Bottle 061,AU-WAT-061,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 061 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,102.34,137,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-061.jpg
NovaStride Running Shoes 062,NO-RUN-062,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 062 is designed for reliable everyday use with a red finish and practical running shoes positioning.,103.69,144,Red,10,Mesh Synthetic,https://example.com/images/no-run-062.jpg
LumaDesk LED Table Lamp 063,LU-TAB-063,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 063 is designed for reliable everyday use with a white finish and practical table lamp positioning.,105.04,151,White,Standard,Metal Plastic,https://example.com/images/lu-tab-063.jpg
PeakTrail Travel Backpack 064,PE-TRA-064,PeakTrail,Travel Bags & Luggage,travel bag,PeakTrail Travel Backpack 064 is designed for reliable everyday use with a black finish and practical travel bag positioning.,106.39,158,Black,28L,Polyester,https://example.com/images/pe-tra-064.jpg
ErgoCraft Ergonomic Chair 065,ER-OFF-065,ErgoCraft,Office Furniture,office chair,ErgoCraft Ergonomic Chair 065 is designed for reliable everyday use with a forest green finish and practical office chair positioning.,107.74,15,Forest Green,Mid Back,Mesh Metal,https://example.com/images/er-off-065.jpg
Chrona Smart Watch 066,CH-WAT-066,Chrona,Fashion Accessories,watch,Chrona Smart Watch 066 is designed for reliable everyday use with a silver finish and practical watch positioning.,109.09,22,Silver,42 mm,Alloy Silicone,https://example.com/images/ch-wat-066.jpg
AuroraFlow Vacuum Bottle 067,AU-WAT-067,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 067 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,110.44,29,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-067.jpg
NovaStride Running Shoes 068,NO-RUN-068,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 068 is designed for reliable everyday use with a red finish and practical running shoes positioning.,111.79,36,Red,10,Mesh Synthetic,https://example.com/images/no-run-068.jpg
LumaDesk LED Table Lamp 069,LU-TAB-069,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 069 is designed for reliable everyday use with a white finish and practical table lamp positioning.,113.14,43,White,Standard,Metal Plastic,https://example.com/images/lu-tab-069.jpg
PeakTrail Travel Backpack 070,PE-TRA-070,PeakTrail,Travel Bags & Luggage,travel bag,PeakTrail Travel Backpack 070 is designed for reliable everyday use with a black finish and practical travel bag positioning.,114.49,50,Black,28L,Polyester,https://example.com/images/pe-tra-070.jpg
ErgoCraft Ergonomic Chair 071,ER-OFF-071,ErgoCraft,Office Furniture,office chair,ErgoCraft Ergonomic Chair 071 is designed for reliable everyday use with a forest green finish and practical office chair positioning.,115.84,57,Forest Green,Mid Back,Mesh Metal,https://example.com/images/er-off-071.jpg
Chrona Smart Watch 072,CH-WAT-072,Chrona,Fashion Accessories,watch,Chrona Smart Watch 072 is designed for reliable everyday use with a silver finish and practical watch positioning.,117.19,,Silver,42 mm,Alloy Silicone,https://example.com/images/ch-wat-072.jpg
AuroraFlow Vacuum Bottle 073,AU-WAT-073,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 073 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,118.54,71,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-073.jpg
NovaStride Running Shoes 074,NO-RUN-074,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 074 is designed for reliable everyday use with a red finish and practical running shoes positioning.,119.89,78,Red,10,Mesh Synthetic,https://example.com/images/no-run-074.jpg
LumaDesk LED Table Lamp 075,LU-TAB-075,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 075 is designed for reliable everyday use with a white finish and practical table lamp positioning.,121.24,85,White,Standard,Metal Plastic,https://example.com/images/lu-tab-075.jpg
PeakTrail Travel Backpack 076,PE-TRA-076,PeakTrail,Travel Bags & Luggage,travel bag,PeakTrail Travel Backpack 076 is designed for reliable everyday use with a black finish and practical travel bag positioning.,122.59,92,Black,28L,Polyester,https://example.com/images/pe-tra-076.jpg
ErgoCraft Ergonomic Chair 077,ER-OFF-077,ErgoCraft,Office Furniture,office chair,ErgoCraft Ergonomic Chair 077 is designed for reliable everyday use with a forest green finish and practical office chair positioning.,123.94,99,Forest Green,Mid Back,Mesh Metal,https://example.com/images/er-off-077.jpg
Chrona Smart Watch 078,CH-WAT-078,Chrona,Fashion Accessories,watch,Chrona Smart Watch 078 is designed for reliable everyday use with a silver finish and practical watch positioning.,125.29,106,Silver,42 mm,Alloy Silicone,https://example.com/images/ch-wat-078.jpg
AuroraFlow Vacuum Bottle 079,AU-WAT-079,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 079 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,126.64,113,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-079.jpg
NovaStride Running Shoes 080,NO-RUN-080,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 080 is designed for reliable everyday use with a red finish and practical running shoes positioning.,127.99,120,Red,10,Mesh Synthetic,https://example.com/images/no-run-080.jpg
LumaDesk LED Table Lamp 081,LU-TAB-081,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 081 is designed for reliable everyday use with a white finish and practical table lamp positioning.,129.34,127,White,Standard,Metal Plastic,https://example.com/images/lu-tab-081.jpg
PeakTrail Travel Backpack 082,PE-TRA-082,PeakTrail,Travel Bags & Luggage,travel bag,PeakTrail Travel Backpack 082 is designed for reliable everyday use with a black finish and practical travel bag positioning.,130.69,134,Black,28L,Polyester,https://example.com/images/pe-tra-082.jpg
ErgoCraft Ergonomic Chair 083,ER-OFF-083,ErgoCraft,Office Furniture,office chair,ErgoCraft Ergonomic Chair 083 is designed for reliable everyday use with a forest green finish and practical office chair positioning.,,141,Forest Green,Mid Back,Mesh Metal,https://example.com/images/er-off-083.jpg
Chrona Smart Watch 084,CH-WAT-084,Chrona,Fashion Accessories,watch,Chrona Smart Watch 084 is designed for reliable everyday use with a silver finish and practical watch positioning.,133.39,148,Silver,42 mm,Alloy Silicone,https://example.com/images/ch-wat-084.jpg
AuroraFlow Vacuum Bottle 085,AU-WAT-085,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 085 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,134.74,155,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-085.jpg
NovaStride Running Shoes 086,NO-RUN-086,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 086 is designed for reliable everyday use with a red finish and practical running shoes positioning.,136.09,12,Red,10,Mesh Synthetic,https://example.com/images/no-run-086.jpg
LumaDesk LED Table Lamp 087,LU-TAB-087,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 087 is designed for reliable everyday use with a white finish and practical table lamp positioning.,137.44,19,White,Standard,Metal Plastic,https://example.com/images/lu-tab-087.jpg
PeakTrail Travel Backpack 088,PE-TRA-088,PeakTrail,Travel Bags & Luggage,travel bag,PeakTrail Travel Backpack 088 is designed for reliable everyday use with a black finish and practical travel bag positioning.,138.79,26,Black,28L,Polyester,https://example.com/images/pe-tra-088.jpg
ErgoCraft Ergonomic Chair 089,ER-OFF-089,ErgoCraft,Office Furniture,office chair,ErgoCraft Ergonomic Chair 089 is designed for reliable everyday use with a forest green finish and practical office chair positioning.,140.14,33,Forest Green,Mid Back,Mesh Metal,https://example.com/images/er-off-089.jpg
Chrona Smart Watch 090,CH-WAT-090,Chrona,Fashion Accessories,watch,Chrona Smart Watch 090 is designed for reliable everyday use with a silver finish and practical watch positioning.,141.49,40,Silver,42 mm,Alloy Silicone,https://example.com/images/ch-wat-090.jpg
AuroraFlow Vacuum Bottle 091,AU-WAT-091,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 091 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,142.84,47,Navy Blue,32 oz,Stainless Steel,
NovaStride Running Shoes 092,NO-RUN-092,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 092 is designed for reliable everyday use with a red finish and practical running shoes positioning.,144.19,54,Red,10,Mesh Synthetic,https://example.com/images/no-run-092.jpg
LumaDesk LED Table Lamp 093,LU-TAB-093,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 093 is designed for reliable everyday use with a white finish and practical table lamp positioning.,145.54,61,White,Standard,Metal Plastic,https://example.com/images/lu-tab-093.jpg
PeakTrail Travel Backpack 094,PE-TRA-094,PeakTrail,Travel Bags & Luggage,travel bag,PeakTrail Travel Backpack 094 is designed for reliable everyday use with a black finish and practical travel bag positioning.,146.89,68,Black,28L,Polyester,https://example.com/images/pe-tra-094.jpg
ErgoCraft Ergonomic Chair 095,ER-OFF-095,ErgoCraft,Office Furniture,office chair,ErgoCraft Ergonomic Chair 095 is designed for reliable everyday use with a forest green finish and practical office chair positioning.,148.24,75,Forest Green,Mid Back,Mesh Metal,https://example.com/images/er-off-095.jpg
Chrona Smart Watch 096,CH-WAT-096,Chrona,Fashion Accessories,watch,Chrona Smart Watch 096 is designed for reliable everyday use with a silver finish and practical watch positioning.,149.59,82,Silver,42 mm,Alloy Silicone,https://example.com/images/ch-wat-096.jpg
AuroraFlow Vacuum Bottle 097,AU-WAT-097,AuroraFlow,Drinkware & Hydration,water bottle,AuroraFlow Vacuum Bottle 097 is designed for reliable everyday use with a navy blue finish and practical water bottle positioning.,150.94,89,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-097.jpg
NovaStride Running Shoes 098,NO-RUN-098,NovaStride,Athletic Footwear,running shoes,NovaStride Running Shoes 098 is designed for reliable everyday use with a red finish and practical running shoes positioning.,152.29,96,Red,10,Mesh Synthetic,https://example.com/images/no-run-098.jpg
LumaDesk LED Table Lamp 099,LU-TAB-099,LumaDesk,Home Lighting,table lamp,LumaDesk LED Table Lamp 099 is designed for reliable everyday use with a white finish and practical table lamp positioning.,153.64,103,White,Standard,Metal Plastic,https://example.com/images/lu-tab-099.jpg
AuroraFlow Vacuum Bottle 001,AU-WAT-001,PeakTrail,Drinkware & Hydration,water bottle,Duplicate row to test SKU and title duplicate handling.,21.34,17,Navy Blue,32 oz,Stainless Steel,https://example.com/images/au-wat-001.jpg
